Time name; timer [s/ps]
timePollAckReceived;12225629.0
timePollAckReceived;12327632.0
timeRangeSent;12342440.0
timeINO;14261.0
timePollSent;12516835.0
timePollAckReceived;12531639.0
timePollAckReceived;12633639.0
timeRangeSent;12648449.0
timeINO;14567.0
timePollSent;12720838.0
timePollAckReceived;12735640.0
timePollAckReceived;12837645.0
timeRangeSent;12852453.0
timeINO;14771.0
timePollSent;12924844.0
timePollAckReceived;12939647.0
timePollAckReceived;13041650.0
timeRangeSent;13056458.0
timeINO;14975.0
timePollSent;13128848.0
timePollAckReceived;13143651.0
timePollAckReceived;13245653.0
timeRangeSent;13260461.0
timeINO;15179.0
timePollSent;13332852.0
timePollAckReceived;13347655.0
timePollAckReceived;13449658.0
timeRangeSent;13464465.0
timeINO;15383.0
timePollSent;13536856.0
timePollAckReceived;13551658.0
timePollAckReceived;13653662.0
timeRangeSent;13668471.0
timeINO;15587.0
timePollSent;13740861.0
timePollAckReceived;13755663.0
timePollAckReceived;13857664.0
timeRangeSent;13872472.0
timeINO;15791.0
timePollSent;13944865.0
timePollAckReceived;13959670.0
timePollAckReceived;14061672.0
timeRangeSent;14076480.0
timeINO;15995.0
timePollSent;14148868.0
timePollAckReceived;14163667.0
timePollAckReceived;14265673.0
timeRangeSent;14280482.0
timeINO;16199.0
timePollSent;14352874.0
timePollAckReceived;14367679.0
timePollAckReceived;14469677.0
timeRangeSent;14484486.0
timeINO;16403.0
timePollSent;14658879.0
timePollAckReceived;14673680.0
timePollAckReceived;14775685.0
timeRangeSent;14790493.0
timeINO;16709.0
timePollSent;14862886.0
timePollAckReceived;14877689.0
timePollAckReceived;14979690.0
timeRangeSent;14994497.0
timeINO;16913.0
timePollSent;15066890.0
timePollAckReceived;15081693.0
timePollAckReceived;15183696.0
timeRangeSent;15198503.0
timeINO;17117.0
timePollSent;15270894.0
timePollAckReceived;15285694.0
timePollAckReceived;15387698.0
timeRangeSent;15402508.0
timeINO;17321.0
timePollSent;15474898.0
