Time name; timer [s/ps]
timePollAckReceived;2056379.0
timeRangeSent;2071185.87
timeINO;21197.0
timePollSent;2143586.25
timePollAckReceived;2158382.75
timePollAckReceived;2260386.0
timeRangeSent;2275193.5
timeINO;21401.0
timePollSent;2347590.0
timePollAckReceived;2362386.5
timePollAckReceived;2464388.0
timeRangeSent;2479197.25
timeINO;21605.0
timePollSent;2551595.25
timePollAckReceived;2566390.75
timePollAckReceived;2668393.25
timeRangeSent;2683202.25
timeINO;21809.0
timePollSent;2755599.5
timePollAckReceived;2770394.75
timePollAckReceived;2872398.25
timeRangeSent;2887203.75
timeINO;22013.0
timePollSent;2959604.25
timePollAckReceived;2974400.0
timePollAckReceived;3076399.5
timeRangeSent;3091208.5
timeINO;22217.0
timePollSent;3163607.5
timePollAckReceived;3178403.0
timePollAckReceived;3280409.5
timeRangeSent;3295218.75
timeINO;22421.0
timePollSent;3367612.0
timePollAckReceived;3382405.75
timePollAckReceived;3484409.75
timeRangeSent;3499215.5
timeINO;22625.0
timePollSent;3571617.75
timePollAckReceived;3586414.0
timePollAckReceived;3688413.75
timeRangeSent;3703220.5
timeINO;22829.0
timePollSent;3877623.0
timePollAckReceived;3892419.0
timePollAckReceived;3994420.5
timeRangeSent;4009227.25
timeINO;23135.0
timePollSent;4081627.5
timePollAckReceived;4096423.75
timePollAckReceived;4198425.5
timeRangeSent;4213233.0
timeINO;23339.0
timePollSent;4285633.0
timePollAckReceived;4300427.0
timePollAckReceived;4402431.5
timeRangeSent;4417241.0
timeINO;23543.0
timePollSent;4489637.5
timePollAckReceived;4504433.0
timePollAckReceived;4606435.5
timeRangeSent;4621242.5
timeINO;23747.0
timePollSent;4693642.5
timePollAckReceived;4708437.0
timePollAckReceived;4810440.0
timeRangeSent;4825248.5
timeINO;23951.0
timePollSent;4897646.5
timePollAckReceived;4912440.5
timePollAckReceived;5014442.0
timeRangeSent;5029250.5
timeINO;24155.0
timePollSent;5101649.5
timePollAckReceived;5116445.5
timePollAckReceived;5320456.5
timeRangeSent;5335266.5
timeINO;24461.0
timePollSent;5407657.5
timePollAckReceived;5422452.0
timePollAckReceived;5524452.5
timeRangeSent;5539261.5
timeINO;24665.0
timePollSent;5611662.0
timePollAckReceived;5626455.5
timePollAckReceived;5728456.5
timeRangeSent;5743264.5
timeINO;24869.0
timePollSent;5815666.0
timePollAckReceived;5830460.5
timePollAckReceived;6034463.5
timeRangeSent;6049271.0
timeINO;25175.0
timePollSent;6121672.5
timePollAckReceived;6136468.0
timePollAckReceived;6238471.5
timeRangeSent;6253280.5
timeINO;25379.0
timePollSent;6325677.5
timePollAckReceived;6340471.0
timePollAckReceived;6442477.0
timeRangeSent;6457285.5
timeINO;25583.0
timePollSent;6529681.5
timePollAckReceived;6544479.0
timePollAckReceived;6646480.0
timeRangeSent;6661288.0
timeINO;25787.0
timePollSent;6733685.5
timePollAckReceived;6748479.5
timePollAckReceived;6850485.0
timeRangeSent;6865293.0
timeINO;25991.0
timePollSent;6937690.5
timePollAckReceived;6952486.5
timePollAckReceived;7054491.0
timeRangeSent;7069302.0
timeINO;26195.0
timePollSent;7141695.0
timePollAckReceived;7156492.5
timePollAckReceived;7258493.0
timeRangeSent;7273304.0
timeINO;26399.0
timePollSent;7345700.0
timePollAckReceived;7360492.5
timePollAckReceived;7462497.5
timeRangeSent;7477306.0
timeINO;26603.0
timePollSent;7549703.0
timePollAckReceived;7564500.0
