Num of Anchor; Time [ms]; Data Anchor; dbm
1780; 210151.0;0.53;-60.8
1780; 211280.0;0.52;-61.88
1780; 212410.0;0.49;-61.16
1780; 213539.0;0.46;-62.31
1780; 214668.0;0.5;-60.95
1780; 215798.0;0.49;-61.34
1780; 216927.0;0.52;-61.56
1780; 218057.0;0.53;-60.68
1780; 219187.0;0.51;-60.99
1780; 220317.0;0.52;-62.52
1780; 221447.0;0.49;-61.83
1780; 222578.0;0.52;-60.36
1780; 223708.0;0.53;-60.82
1780; 224837.0;0.52;-60.58
1780; 225966.0;0.52;-61.23
1780; 227096.0;0.52;-62.19
1780; 228227.0;0.52;-61.73
1780; 229357.0;0.51;-61.14
1780; 230486.0;0.51;-62.18
1780; 231616.0;0.53;-61.7
1780; 232746.0;0.5;-61.14
1780; 233875.0;0.51;-61.45
1780; 235005.0;0.5;-61.23
1780; 236135.0;0.5;-61.64
1780; 237265.0;0.53;-61.6
1780; 238395.0;0.48;-61.46
1780; 239524.0;0.52;-60.34
1780; 240653.0;0.5;-62.14
1780; 241782.0;0.52;-62.5
1780; 242912.0;0.48;-62.08
1780; 244042.0;0.5;-60.61
1780; 245171.0;0.52;-59.64
1780; 246301.0;0.53;-60.88
1780; 247430.0;0.49;-61.92
1780; 248560.0;0.51;-61.1
1780; 249690.0;0.48;-61.43
1780; 250820.0;0.48;-61.91
1780; 251949.0;0.52;-61.54
1780; 253079.0;0.49;-61.17
1780; 254209.0;0.5;-60.98
1780; 255340.0;0.53;-61.65
1780; 256470.0;0.5;-61.36
1780; 257599.0;0.5;-61.43
1780; 258728.0;0.52;-61.3
1780; 259858.0;0.55;-60.95
1780; 260988.0;0.53;-62.25
1780; 262117.0;0.49;-61.69
1780; 263248.0;0.49;-61.43
1780; 264377.0;0.51;-61.6
1780; 265508.0;0.56;-61.48
1780; 266637.0;0.51;-60.81
1780; 267767.0;0.5;-61.71
1780; 268897.0;0.5;-61.28
1780; 270027.0;0.5;-62.31
1780; 271156.0;0.49;-61.29
1780; 272286.0;0.49;-61.06
1780; 273416.0;0.46;-60.64
1780; 274546.0;0.51;-61.86
1780; 275675.0;0.48;-62.44
1780; 276805.0;0.47;-61.7
1780; 277934.0;0.5;-61.13
1780; 279064.0;0.52;-61.42
1780; 280193.0;0.49;-61.09
1780; 281323.0;0.52;-62.11
1780; 282452.0;0.5;-62.11
1780; 283581.0;0.51;-62.09
1780; 284711.0;0.48;-61.92
1780; 285840.0;0.53;-62.03
1780; 286969.0;0.54;-61.66
1780; 288099.0;0.49;-61.16
1780; 289229.0;0.53;-60.06
1780; 290361.0;0.52;-62.52
