Num of Anchor; Time [ms]; Data Anchor; dbm
1780 ; 9681.0;0.45;-60.34
1780 ; 10810.0;0.38;-58.35
1780 ; 11939.0;0.39;-59.05
1780 ; 13068.0;0.47;-59.35
1780 ; 14197.0;0.45;-57.29
1780 ; 15326.0;0.34;-60.38
1780 ; 16455.0;0.47;-58.18
1780 ; 17584.0;0.38;-60.74
1780 ; 18713.0;0.4;-55.83
1780 ; 19842.0;0.3;-60.97
1780 ; 20971.0;0.43;-60.39
1780 ; 22101.0;0.38;-60.99
1780 ; 23229.0;0.47;-57.83
1780 ; 24358.0;0.37;-61.49
1780 ; 25488.0;0.36;-61.72
1780 ; 26617.0;0.42;-57.28
1780 ; 27745.0;0.4;-59.86
1780 ; 28874.0;0.45;-58.99
1780 ; 30003.0;0.36;-56.55
1780 ; 31132.0;0.37;-62.09
1780 ; 32261.0;0.4;-61.06
1780 ; 33390.0;0.46;-58.42
1780 ; 34519.0;0.4;-58.33
1780 ; 35648.0;0.39;-58.17
1780 ; 36777.0;0.41;-58.38
1780 ; 37906.0;0.38;-60.38
1780 ; 39035.0;0.39;-60.36
1780 ; 40164.0;0.4;-60.13
1780 ; 41293.0;0.37;-59.45
1780 ; 42422.0;0.39;-59.79
1780 ; 43551.0;0.4;-60.15
1780 ; 44680.0;0.39;-60.39
1780 ; 45809.0;0.34;-60.39
1780 ; 46938.0;0.37;-60.42
1780 ; 48067.0;0.42;-58.97
1780 ; 49196.0;0.5;-59.8
1780 ; 50325.0;0.44;-58.96
1780 ; 51454.0;0.42;-60.94
1780 ; 52583.0;0.44;-59.87
1780 ; 53712.0;0.44;-59.71
1780 ; 54841.0;0.47;-58.85
1780 ; 55970.0;0.39;-60.13
1780 ; 57099.0;0.39;-56.76
1780 ; 58228.0;0.37;-59.39
1780 ; 59357.0;0.4;-60.93
1780 ; 60486.0;0.35;-59.32
1780 ; 61615.0;0.41;-60.69
1780 ; 62745.0;0.35;-59.54
1780 ; 63873.0;0.41;-59.36
1780 ; 65002.0;0.39;-60.25
1780 ; 66131.0;0.36;-61.78
1780 ; 67260.0;0.45;-60.16
1780 ; 68389.0;0.41;-59.89
1780 ; 69518.0;0.37;-58.33
1780 ; 70647.0;0.45;-61.96
1780 ; 71776.0;0.46;-59.0
1780 ; 72905.0;0.43;-57.47
1780 ; 74034.0;0.38;-58.25
1780 ; 75163.0;0.45;-61.04
1780 ; 76292.0;0.3;-60.99
1780 ; 77421.0;0.42;-60.44
1780 ; 78550.0;0.4;-59.76
1780 ; 79679.0;0.36;-58.35
1780 ; 80808.0;0.46;-57.05
1780 ; 81937.0;0.4;-60.57
1780 ; 83066.0;0.43;-58.85
1780 ; 84195.0;0.38;-57.37
1780 ; 85324.0;0.38;-60.09
1780 ; 86453.0;0.38;-58.02
1780 ; 87582.0;0.4;-59.11
1780 ; 88711.0;0.41;-59.98
1780 ; 89840.0;0.32;-60.13
1780 ; 90969.0;0.37;-60.46
1780 ; 92098.0;0.45;-59.6
1780 ; 93227.0;0.37;-61.32
1780 ; 94356.0;0.42;-57.04
1780 ; 95485.0;0.33;-58.38
1780 ; 96614.0;0.4;-57.69
1780 ; 97743.0;0.33;-59.8
1780 ; 98872.0;0.43;-60.12
1780 ; 100001.0;0.38;-59.06
1780 ; 101130.0;0.4;-59.57
1780 ; 102259.0;0.36;-59.94
1780 ; 103388.0;0.44;-61.06
1780 ; 104517.0;0.33;-57.91
1780 ; 105646.0;0.49;-60.68
1780 ; 106775.0;0.38;-58.14
1780 ; 107904.0;0.35;-58.14
1780 ; 109033.0;0.39;-59.58
1780 ; 110163.0;0.46;-60.21
1780 ; 111292.0;0.33;-60.08
1780 ; 112420.0;0.4;-59.76
1780 ; 113549.0;0.44;-58.0
1780 ; 114678.0;0.43;-60.77
1780 ; 115807.0;0.43;-60.36
1780 ; 116936.0;0.5;-60.79
1780 ; 118065.0;0.43;-60.0
1780 ; 119194.0;0.44;-56.5
1780 ; 120323.0;0.41;-59.22
1780 ; 121452.0;0.32;-59.75
1780 ; 122581.0;0.36;-60.74
1780 ; 123710.0;0.42;-57.01
1780 ; 124839.0;0.39;-60.35
1780 ; 125968.0;0.43;-59.41
1780 ; 127097.0;0.4;-60.28
1780 ; 128226.0;0.37;-59.38
1780 ; 129355.0;0.37;-56.68
1780 ; 130484.0;0.36;-58.74
1780 ; 131613.0;0.43;-59.15
1780 ; 132742.0;0.42;-58.8
1780 ; 133871.0;0.43;-57.6
1780 ; 135000.0;0.44;-60.85
1780 ; 136129.0;0.41;-60.63
1780 ; 137258.0;0.38;-57.43
1780 ; 138387.0;0.42;-58.83
1780 ; 139516.0;0.46;-57.83
1780 ; 140645.0;0.39;-60.07
1780 ; 141774.0;0.4;-58.94
1780 ; 142903.0;0.39;-58.31
1780 ; 144032.0;0.38;-60.42
1780 ; 145161.0;0.43;-59.15
1780 ; 146290.0;0.39;-58.72
1780 ; 147419.0;0.35;-59.7
1780 ; 148548.0;0.4;-61.23
1780 ; 149677.0;0.37;-60.46
1780 ; 150807.0;0.35;-60.44
1780 ; 151935.0;0.4;-58.21
1780 ; 153065.0;0.35;-60.13
1780 ; 154193.0;0.39;-59.37
1780 ; 155322.0;0.42;-60.44
1780 ; 156451.0;0.35;-57.94
1780 ; 157580.0;0.43;-58.86
1780 ; 158709.0;0.43;-58.17
1780 ; 159838.0;0.38;-59.39
1780 ; 160967.0;0.38;-59.38
1780 ; 162096.0;0.4;-60.79
1780 ; 163225.0;0.39;-60.73
1780 ; 164354.0;0.36;-58.21
1780 ; 165483.0;0.32;-57.1
1780 ; 166612.0;0.34;-56.62
1780 ; 167741.0;0.4;-60.75
1780 ; 168870.0;0.44;-58.58
1780 ; 169999.0;0.38;-60.39
1780 ; 171128.0;0.37;-59.67
1780 ; 172257.0;0.4;-59.7
1780 ; 173386.0;0.38;-58.09
1780 ; 174515.0;0.36;-57.81
1780 ; 175644.0;0.41;-56.93
1780 ; 176773.0;0.4;-57.83
1780 ; 177902.0;0.43;-58.45
1780 ; 179031.0;0.37;-59.19
1780 ; 180160.0;0.37;-61.19
1780 ; 181289.0;0.38;-57.81
1780 ; 182418.0;0.41;-59.55
1780 ; 183547.0;0.41;-60.48
1780 ; 184676.0;0.4;-60.42
1780 ; 185805.0;0.38;-60.5
1780 ; 186934.0;0.38;-57.13
1780 ; 188063.0;0.35;-60.45
1780 ; 189192.0;0.34;-59.23
1780 ; 190321.0;0.41;-60.5
1780 ; 191450.0;0.47;-60.23
1780 ; 192579.0;0.37;-57.17
1780 ; 193708.0;0.36;-59.55
1780 ; 194838.0;0.48;-60.07
1780 ; 195966.0;0.35;-60.81
1780 ; 197095.0;0.42;-60.21
1780 ; 198224.0;0.38;-57.64
1780 ; 199353.0;0.38;-58.86
1780 ; 200482.0;0.36;-59.6
1780 ; 201611.0;0.39;-58.81
1780 ; 202740.0;0.34;-59.56
1780 ; 203870.0;0.35;-59.93
1780 ; 204999.0;0.46;-60.41
1780 ; 206127.0;0.32;-60.29
1780 ; 207256.0;0.38;-57.4
1780 ; 208385.0;0.38;-58.65
1780 ; 209514.0;0.42;-58.54
1780 ; 210643.0;0.4;-58.29
1780 ; 211772.0;0.39;-60.42
1780 ; 212901.0;0.4;-59.64
1780 ; 214030.0;0.37;-58.69
1780 ; 215159.0;0.46;-59.62
1780 ; 216288.0;0.37;-59.11
1780 ; 217417.0;0.41;-59.82
1780 ; 218546.0;0.38;-60.46
1780 ; 219675.0;0.44;-59.94
1780 ; 220804.0;0.45;-60.76
1780 ; 221933.0;0.38;-58.76
1780 ; 223062.0;0.36;-60.49
1780 ; 224191.0;0.41;-58.62
1780 ; 225320.0;0.37;-60.62
1780 ; 226449.0;0.4;-59.7
1780 ; 227578.0;0.42;-59.22
1780 ; 228707.0;0.47;-60.72
1780 ; 229836.0;0.44;-60.77
1780 ; 230965.0;0.47;-60.9
1780 ; 232094.0;0.4;-59.21
1780 ; 233223.0;0.43;-60.47
1780 ; 234352.0;0.44;-58.01
1780 ; 235481.0;0.52;-60.15
1780 ; 236610.0;0.43;-59.73
1780 ; 237739.0;0.38;-59.51
1780 ; 238868.0;0.49;-58.23
1780 ; 239997.0;0.4;-59.14
1780 ; 241126.0;0.4;-57.73
1780 ; 242256.0;0.38;-58.66
1780 ; 243384.0;0.43;-60.17
1780 ; 244513.0;0.46;-60.41
1780 ; 245642.0;0.41;-57.65
1780 ; 246771.0;0.4;-60.92
1780 ; 247900.0;0.42;-59.83
1780 ; 249029.0;0.43;-59.25
1780 ; 250158.0;0.46;-60.21
1780 ; 251287.0;0.43;-60.43
1780 ; 252417.0;0.44;-60.17
1780 ; 253545.0;0.45;-58.16
1780 ; 254674.0;0.4;-59.2
1780 ; 255803.0;0.39;-60.02
1780 ; 256932.0;0.47;-59.94
1780 ; 258061.0;0.42;-58.06
1780 ; 259190.0;0.4;-58.92
1780 ; 260319.0;0.39;-59.11
