Num of Anchor; Time [ms]; Data Anchor; dbm
1780 ; 435149.0;0.47;-79.73
1781 ; 435149.0;0.41;-79.76
1782 ; 435149.0;1.01;-81.53
1783 ; 435149.0;1.21;-78.45
1780 ; 436276.0;0.47;-79.73
1781 ; 436276.0;0.41;-79.76
1782 ; 436276.0;1.01;-81.53
1783 ; 436276.0;1.21;-78.45
1780 ; 437403.0;0.47;-79.73
1781 ; 437403.0;0.41;-79.76
1782 ; 437403.0;1.01;-81.53
1783 ; 437403.0;1.21;-78.45
1781 ; 438531.0;0.41;-79.76
1783 ; 438531.0;1.21;-78.45
1781 ; 439658.0;0.41;-79.76
1783 ; 439658.0;1.17;-79.67
1780 ; 439658.0;0.47;-79.64
1781 ; 440786.0;0.41;-79.76
1783 ; 440786.0;1.22;-79.22
1780 ; 440786.0;0.43;-79.42
1783 ; 441913.0;1.21;-79.05
1780 ; 441913.0;0.44;-79.24
1783 ; 443040.0;1.21;-79.05
1780 ; 443040.0;0.44;-79.24
1783 ; 444167.0;1.21;-79.05
1780 ; 444167.0;0.44;-79.24
1783 ; 445294.0;1.21;-79.05
1780 ; 445294.0;0.44;-79.24
1783 ; 446422.0;1.21;-79.05
1780 ; 446422.0;0.44;-79.24
1783 ; 447549.0;1.21;-79.05
1780 ; 447549.0;0.44;-79.24
1783 ; 448676.0;1.21;-79.05
1780 ; 448676.0;0.44;-79.24
1783 ; 449803.0;1.21;-79.05
1780 ; 449803.0;0.44;-79.24
1783 ; 450931.0;1.21;-79.05
1780 ; 450931.0;0.44;-79.24
1783 ; 452058.0;1.21;-79.05
1780 ; 452058.0;0.44;-79.24
1783 ; 453185.0;1.21;-79.05
1780 ; 453185.0;0.44;-79.24
1783 ; 454312.0;1.21;-79.05
1780 ; 454312.0;0.44;-79.24
1783 ; 455439.0;1.21;-79.05
1780 ; 455439.0;0.44;-79.24
1783 ; 456566.0;1.21;-79.05
1780 ; 456566.0;0.44;-79.24
1783 ; 457693.0;1.21;-79.05
1780 ; 457693.0;0.44;-79.24
1783 ; 458820.0;1.21;-79.05
1780 ; 458820.0;0.44;-79.24
1783 ; 459947.0;1.23;-79.21
1780 ; 459947.0;0.45;-79.8
1781 ; 459947.0;0.48;-79.87
