Num of Anchor; Time [ms]; Data Anchor
1780 ; 32367.0;0.0
1780 ; 33370.0;0.0
1780 ; 34373.0;0.41407
1780 ; 35376.0;0.46473
1780 ; 36379.0;0.485
1780 ; 37382.0;0.47126
1780 ; 38386.0;0.45992
1780 ; 39389.0;0.47057
1780 ; 40392.0;0.46457
1780 ; 41395.0;0.46087
1780 ; 42398.0;0.45812
1780 ; 43401.0;0.47985
1780 ; 44404.0;0.47355
1780 ; 45407.0;0.47294
1780 ; 46410.0;0.46249
1780 ; 47413.0;0.46662
1780 ; 48416.0;0.48118
1780 ; 49419.0;0.47127
1780 ; 50422.0;0.45199
1780 ; 51425.0;0.4922
1780 ; 52428.0;0.4798
1780 ; 53431.0;0.46979
1780 ; 54434.0;0.45724
1780 ; 55437.0;0.46993
1780 ; 56440.0;0.47064
1780 ; 57443.0;0.47036
1780 ; 58446.0;0.46468
1780 ; 59449.0;0.48264
1780 ; 60452.0;0.46423
1780 ; 61455.0;0.46815
1780 ; 62458.0;0.46333
1780 ; 63461.0;0.44375
1780 ; 64464.0;0.47484
1780 ; 65467.0;0.46402
1780 ; 66470.0;0.48662
1780 ; 67474.0;0.46531
1780 ; 68477.0;0.46223
1780 ; 69480.0;0.46731
1780 ; 70483.0;0.47911
1780 ; 71486.0;0.45713
1780 ; 72489.0;0.45908
1780 ; 73492.0;0.45858
1780 ; 74495.0;0.47422
1780 ; 75498.0;0.47832
1780 ; 76501.0;0.46985
1780 ; 77504.0;0.46304
1780 ; 78507.0;0.46286
1780 ; 79510.0;0.46266
1780 ; 80513.0;0.46386
1780 ; 81516.0;0.4702
1780 ; 82519.0;0.47301
1780 ; 83522.0;0.47565
1780 ; 84525.0;0.46599
1780 ; 85528.0;0.46721
1780 ; 86531.0;0.45875
1780 ; 87534.0;0.4632
1780 ; 88537.0;0.46322
1780 ; 89540.0;0.47797
1780 ; 90543.0;0.46707
1780 ; 91546.0;0.46603
1780 ; 92549.0;0.47592
1780 ; 93552.0;0.46336
1780 ; 94555.0;0.46391
1780 ; 95558.0;0.46134
1780 ; 96561.0;0.46876
1780 ; 97564.0;0.48467
1780 ; 98567.0;0.45773
1780 ; 99570.0;0.44597
1780 ; 100573.0;0.48851
1780 ; 101576.0;0.46892
1780 ; 102579.0;0.47605
1780 ; 103582.0;0.47077
1780 ; 104585.0;0.45794
1780 ; 105588.0;0.47811
1780 ; 106591.0;0.47356
1780 ; 107594.0;0.45769
1780 ; 108597.0;0.46217
1780 ; 109600.0;0.45983
1780 ; 110603.0;0.46732
1780 ; 111606.0;0.47847
1780 ; 112609.0;0.45845
1780 ; 113612.0;0.46286
1780 ; 114615.0;0.45323
1780 ; 115618.0;0.47511
1780 ; 116621.0;0.45587
1780 ; 117624.0;0.46448
1780 ; 118627.0;0.47779
1780 ; 119630.0;0.45399
1780 ; 120633.0;0.4665
1780 ; 121636.0;0.45991
1780 ; 122639.0;0.46862
1780 ; 123642.0;0.4603
1780 ; 124645.0;0.46961
1780 ; 125648.0;0.46798
1780 ; 126651.0;0.47765
1780 ; 127654.0;0.47095
1780 ; 128657.0;0.46959
1780 ; 129660.0;0.45502
1780 ; 130663.0;0.46666
1780 ; 131666.0;0.46374
1780 ; 132669.0;0.46194
1780 ; 133672.0;0.46856
1780 ; 134675.0;0.46059
1780 ; 135678.0;0.44778
1780 ; 136681.0;0.45917
1780 ; 137684.0;0.45977
1780 ; 138687.0;0.46456
1780 ; 139690.0;0.47323
1780 ; 140693.0;0.45771
1780 ; 141696.0;0.45795
1780 ; 142699.0;0.46508
1780 ; 143702.0;0.47832
1780 ; 144705.0;0.4615
