Num of Anchor; Time [ms]; Data Anchor
1780 ; 32367.0;0.0
1780 ; 33370.0;0.0
1780 ; 34373.0;0.42206
1780 ; 35376.0;0.48646
1780 ; 36379.0;0.49049
1780 ; 37382.0;0.472
1780 ; 38385.0;0.49218
1780 ; 39388.0;0.44575
1780 ; 40391.0;0.48925
1780 ; 41394.0;0.47997
1780 ; 42397.0;0.47477
1780 ; 43400.0;0.46747
1780 ; 44403.0;0.48786
1780 ; 45406.0;0.46428
1780 ; 46409.0;0.48498
1780 ; 47412.0;0.49602
1780 ; 48415.0;0.45681
1780 ; 49418.0;0.44915
1780 ; 50421.0;0.48122
1780 ; 51424.0;0.47423
1780 ; 52427.0;0.46141
1780 ; 53430.0;0.46771
1780 ; 54433.0;0.476
1780 ; 55436.0;0.47329
1780 ; 56439.0;0.48959
1780 ; 57442.0;0.45933
1780 ; 58445.0;0.46112
1780 ; 59448.0;0.47374
1780 ; 60451.0;0.462
1780 ; 61454.0;0.46722
1780 ; 62457.0;0.47742
1780 ; 63460.0;0.46264
1780 ; 64463.0;0.46976
1780 ; 65466.0;0.4695
1780 ; 66469.0;0.46377
1780 ; 67472.0;0.47402
1780 ; 68475.0;0.47947
1780 ; 69478.0;0.47587
1780 ; 70481.0;0.46492
1780 ; 71484.0;0.47903
1780 ; 72487.0;0.47342
1780 ; 73490.0;0.47235
1780 ; 74493.0;0.47942
1780 ; 75496.0;0.47168
1780 ; 76500.0;0.48397
1780 ; 77503.0;0.4823
1780 ; 78506.0;0.48083
1780 ; 79509.0;0.47812
1780 ; 80512.0;0.48627
1780 ; 81515.0;0.48521
1780 ; 82518.0;0.47468
1780 ; 83521.0;0.44791
1780 ; 84524.0;0.45518
1780 ; 85527.0;0.45968
1780 ; 86530.0;0.47564
1780 ; 87533.0;0.46798
1780 ; 88536.0;0.47405
1780 ; 89539.0;0.47856
1780 ; 90542.0;0.47641
1780 ; 91545.0;0.4852
1780 ; 92548.0;0.48396
1780 ; 93551.0;0.47607
1780 ; 94554.0;0.4787
1780 ; 95557.0;0.4772
1780 ; 96560.0;0.47877
1780 ; 97563.0;0.48772
1780 ; 98566.0;0.46655
1780 ; 99569.0;0.47239
1780 ; 100572.0;0.4626
1780 ; 101575.0;0.47363
1780 ; 102578.0;0.47222
1780 ; 103581.0;0.4768
1780 ; 104584.0;0.4744
1780 ; 105588.0;0.47492
1780 ; 106591.0;0.47313
1780 ; 107594.0;0.47255
1780 ; 108597.0;0.48285
1780 ; 109600.0;0.46543
1780 ; 110603.0;0.48301
1780 ; 111606.0;0.47963
1780 ; 112609.0;0.47288
1780 ; 113612.0;0.48468
1780 ; 114615.0;0.47233
1780 ; 115618.0;0.47534
1780 ; 116621.0;0.48092
1780 ; 117624.0;0.45659
1780 ; 118627.0;0.47509
1780 ; 119630.0;0.46544
1780 ; 120633.0;0.46512
1780 ; 121636.0;0.46653
1780 ; 122639.0;0.48135
1780 ; 123642.0;0.47434
1780 ; 124645.0;0.46829
1780 ; 125648.0;0.48159
1780 ; 126651.0;0.47686
1780 ; 127654.0;0.46819
1780 ; 128657.0;0.46777
1780 ; 129660.0;0.48183
1780 ; 130663.0;0.46502
1780 ; 131666.0;0.47941
1780 ; 132669.0;0.47831
1780 ; 133672.0;0.4739
1780 ; 134675.0;0.46973
1780 ; 135678.0;0.48417
1780 ; 136681.0;0.4879
1780 ; 137684.0;0.47623
1780 ; 138687.0;0.46915
1780 ; 139690.0;0.46601
1780 ; 140693.0;0.48243
1780 ; 141696.0;0.45826
1780 ; 142699.0;0.4844
1780 ; 143702.0;0.48619
1780 ; 144705.0;0.476
1780 ; 145708.0;0.46358
