Num of Anchor; Time [ms]; Data Anchor
1780 ; 32420.0;0.28074
1780 ; 33423.0;0.4429
1780 ; 34426.0;0.49151
1780 ; 35429.0;0.48401
1780 ; 36432.0;0.46266
1780 ; 37435.0;0.48134
1780 ; 38438.0;0.45735
1780 ; 39441.0;0.44627
1780 ; 40444.0;0.47734
1780 ; 41447.0;0.45848
1780 ; 42450.0;0.46206
1780 ; 43453.0;0.49166
1780 ; 44456.0;0.48128
1780 ; 45459.0;0.4606
1780 ; 46462.0;0.45024
1780 ; 47465.0;0.46348
1780 ; 48468.0;0.45527
1780 ; 49471.0;0.43348
1780 ; 50474.0;0.4565
1780 ; 51477.0;0.46009
1780 ; 52480.0;0.46909
1780 ; 53483.0;0.4849
1780 ; 54486.0;0.46991
1780 ; 55489.0;0.47342
1780 ; 56492.0;0.47618
1780 ; 57495.0;0.46863
1780 ; 58498.0;0.47105
1780 ; 59501.0;0.46351
1780 ; 60504.0;0.46029
1780 ; 61507.0;0.46301
1780 ; 62510.0;0.46842
1780 ; 63513.0;0.47629
1780 ; 64516.0;0.48703
1780 ; 65519.0;0.48342
1780 ; 66522.0;0.46997
1780 ; 67525.0;0.47461
1780 ; 68528.0;0.4454
1780 ; 69531.0;0.47976
1780 ; 70534.0;0.46466
1780 ; 71537.0;0.4699
1780 ; 72540.0;0.46592
1780 ; 73543.0;0.45715
1780 ; 74546.0;0.47024
1780 ; 75549.0;0.45799
1780 ; 76552.0;0.46737
1780 ; 77555.0;0.47087
1780 ; 78558.0;0.47926
1780 ; 79561.0;0.46354
1780 ; 80564.0;0.45029
1780 ; 81567.0;0.44515
1780 ; 82570.0;0.47092
1780 ; 83573.0;0.48115
1780 ; 84576.0;0.46219
1780 ; 85579.0;0.46149
1780 ; 86582.0;0.46401
1780 ; 87585.0;0.47501
1780 ; 88588.0;0.45843
1780 ; 89591.0;0.46327
1780 ; 90594.0;0.47681
1780 ; 91597.0;0.47292
1780 ; 92600.0;0.45643
1780 ; 93603.0;0.46511
1780 ; 94606.0;0.47064
1780 ; 95609.0;0.46924
1780 ; 96612.0;0.45753
1780 ; 97615.0;0.47362
1780 ; 98618.0;0.47034
1780 ; 99621.0;0.48425
1780 ; 100624.0;0.47319
1780 ; 101627.0;0.46935
1780 ; 102630.0;0.47119
1780 ; 103633.0;0.47505
1780 ; 104636.0;0.4408
1780 ; 105639.0;0.47452
1780 ; 106642.0;0.45694
1780 ; 107645.0;0.45432
1780 ; 108648.0;0.45299
1780 ; 109651.0;0.46221
1780 ; 110654.0;0.47899
1780 ; 111657.0;0.47712
1780 ; 112660.0;0.45624
1780 ; 113663.0;0.44456
1780 ; 114666.0;0.46735
1780 ; 115669.0;0.47525
1780 ; 116672.0;0.46335
1780 ; 117675.0;0.47
1780 ; 118678.0;0.45902
1780 ; 119681.0;0.47045
1780 ; 120684.0;0.46911
1780 ; 121687.0;0.45991
1780 ; 122690.0;0.46426
1780 ; 123693.0;0.47507
1780 ; 124697.0;0.47488
1780 ; 125700.0;0.46254
1780 ; 126703.0;0.4555
1780 ; 127706.0;0.46314
1780 ; 128709.0;0.46629
1780 ; 129712.0;0.46683
1780 ; 130715.0;0.46818
1780 ; 131718.0;0.45999
1780 ; 132721.0;0.47135
1780 ; 133724.0;0.45729
1780 ; 134727.0;0.4795
1780 ; 135730.0;0.46224
1780 ; 136733.0;0.46692
1780 ; 137736.0;0.47405
1780 ; 138739.0;0.47661
1780 ; 139742.0;0.46282
1780 ; 140745.0;0.46879
1780 ; 141748.0;0.4589
1780 ; 142751.0;0.47143
