Num of Anchor; Time [ms]; Data Anchor
1780 ; 31362.0;0.0
1780 ; 32365.0;0.0
1780 ; 33369.0;0.42473
1780 ; 34372.0;0.44734
1780 ; 35375.0;0.45178
1780 ; 36378.0;0.458
1780 ; 37381.0;0.47111
1780 ; 38384.0;0.4804
1780 ; 39387.0;0.45662
1780 ; 40391.0;0.44642
1780 ; 41394.0;0.46322
1780 ; 42397.0;0.46204
1780 ; 43400.0;0.47378
1780 ; 44403.0;0.46584
1780 ; 45406.0;0.47265
1780 ; 46409.0;0.46842
1780 ; 47412.0;0.4648
1780 ; 48415.0;0.46457
1780 ; 49418.0;0.45755
1780 ; 50421.0;0.45468
1780 ; 51424.0;0.46534
1780 ; 52427.0;0.46974
1780 ; 53430.0;0.46348
1780 ; 54433.0;0.45424
1780 ; 55436.0;0.47964
1780 ; 56439.0;0.47782
1780 ; 57442.0;0.46276
1780 ; 58445.0;0.47411
1780 ; 59448.0;0.45853
1780 ; 60451.0;0.47037
1780 ; 61454.0;0.4647
1780 ; 62457.0;0.4738
1780 ; 63460.0;0.47976
1780 ; 64463.0;0.46361
1780 ; 65466.0;0.45971
1780 ; 66470.0;0.46311
1780 ; 67473.0;0.46853
1780 ; 68476.0;0.46041
1780 ; 69479.0;0.46211
1780 ; 70482.0;0.47006
1780 ; 71485.0;0.46337
1780 ; 72488.0;0.47597
1780 ; 73491.0;0.46427
1780 ; 74494.0;0.44301
1780 ; 75497.0;0.46934
1780 ; 76500.0;0.46046
1780 ; 77503.0;0.48599
1780 ; 78506.0;0.46835
1780 ; 79509.0;0.46257
1780 ; 80513.0;0.4777
1780 ; 81516.0;0.46302
1780 ; 82519.0;0.47637
1780 ; 83522.0;0.44622
1780 ; 84525.0;0.4788
1780 ; 85528.0;0.4709
1780 ; 86531.0;0.47158
1780 ; 87534.0;0.45591
1780 ; 88537.0;0.46696
1780 ; 89540.0;0.45255
1780 ; 90543.0;0.46924
1780 ; 91546.0;0.45289
1780 ; 92549.0;0.46271
1780 ; 93552.0;0.46544
1780 ; 94555.0;0.46945
1780 ; 95558.0;0.45394
1780 ; 96561.0;0.46315
1780 ; 97564.0;0.46151
1780 ; 98567.0;0.45833
1780 ; 99570.0;0.46475
1780 ; 100573.0;0.46252
1780 ; 101576.0;0.46847
1780 ; 102579.0;0.46383
1780 ; 103582.0;0.463
1780 ; 104585.0;0.47125
1780 ; 105588.0;0.4697
1780 ; 106591.0;0.45759
1780 ; 107594.0;0.47619
1780 ; 108597.0;0.47985
1780 ; 109600.0;0.46269
1780 ; 110603.0;0.47076
1780 ; 111606.0;0.47462
1780 ; 112609.0;0.46101
1780 ; 113612.0;0.46859
1780 ; 114615.0;0.45846
1780 ; 115618.0;0.48127
1780 ; 116621.0;0.48283
1780 ; 117624.0;0.47432
1780 ; 118628.0;0.45293
1780 ; 119631.0;0.45254
1780 ; 120634.0;0.46354
1780 ; 121638.0;0.46039
1780 ; 122641.0;0.47214
1780 ; 123644.0;0.45727
1780 ; 124647.0;0.46704
1780 ; 125650.0;0.47783
1780 ; 126653.0;0.45286
1780 ; 127656.0;0.46736
1780 ; 128659.0;0.46542
1780 ; 129662.0;0.4578
1780 ; 130665.0;0.46626
1780 ; 131668.0;0.46846
1780 ; 132671.0;0.46149
1780 ; 133674.0;0.44169
1780 ; 134677.0;0.49019
1780 ; 135680.0;0.46698
1780 ; 136684.0;0.46373
1780 ; 137687.0;0.46502
1780 ; 138690.0;0.46838
1780 ; 139693.0;0.46492
1780 ; 140696.0;0.4534
1780 ; 141699.0;0.45205
1780 ; 142702.0;0.45882
1780 ; 143705.0;0.46152
1780 ; 144708.0;0.4816
1780 ; 145711.0;0.46727
1780 ; 146714.0;0.44864
1780 ; 147717.0;0.43987
1780 ; 148720.0;0.43495
1780 ; 149723.0;0.47059
1780 ; 150726.0;0.45223
1780 ; 151730.0;0.45438
1780 ; 152733.0;0.46242
1780 ; 153736.0;0.45053
1780 ; 154739.0;0.46758
1780 ; 155742.0;0.46971
1780 ; 156745.0;0.44361
1780 ; 157748.0;0.46209
1780 ; 158751.0;0.46248
1780 ; 159754.0;0.47049
1780 ; 160757.0;0.46398
1780 ; 161760.0;0.45686
1780 ; 162763.0;0.4689
1780 ; 163766.0;0.47323
1780 ; 164769.0;0.47421
1780 ; 165772.0;0.45716
1780 ; 166775.0;0.461
1780 ; 167778.0;0.46704
1780 ; 168781.0;0.46861
1780 ; 169784.0;0.45039
1780 ; 170787.0;0.45318
1780 ; 171790.0;0.46416
1780 ; 172793.0;0.46398
1780 ; 173796.0;0.45709
1780 ; 174799.0;0.44952
1780 ; 175802.0;0.46006
1780 ; 176805.0;0.47077
1780 ; 177808.0;0.45946
1780 ; 178811.0;0.4661
1780 ; 179814.0;0.46892
1780 ; 180817.0;0.4564
1780 ; 181820.0;0.4631
1780 ; 182823.0;0.45357
1780 ; 183826.0;0.45889
1780 ; 184829.0;0.46821
1780 ; 185832.0;0.459
1780 ; 186835.0;0.47645
1780 ; 187838.0;0.44704
1780 ; 188841.0;0.45765
1780 ; 189844.0;0.47343
1780 ; 190847.0;0.46548
1780 ; 191850.0;0.46294
1780 ; 192853.0;0.44886
1780 ; 193856.0;0.4804
1780 ; 194859.0;0.47732
1780 ; 195862.0;0.46809
1780 ; 196865.0;0.45494
1780 ; 197868.0;0.4802
1780 ; 198871.0;0.45318
1780 ; 199874.0;0.45222
1780 ; 200877.0;0.46361
1780 ; 201880.0;0.47162
1780 ; 202883.0;0.4706
1780 ; 203886.0;0.45802
1780 ; 204890.0;0.47121
1780 ; 205893.0;0.46486
1780 ; 206896.0;0.46247
1780 ; 207899.0;0.46999
1780 ; 208902.0;0.46173
1780 ; 209905.0;0.46605
1780 ; 210908.0;0.45741
1780 ; 211911.0;0.46643
1780 ; 212914.0;0.45711
1780 ; 213917.0;0.44723
1780 ; 214920.0;0.46165
1780 ; 215923.0;0.45649
1780 ; 216926.0;0.46071
1780 ; 217929.0;0.45984
1780 ; 218932.0;0.46497
1780 ; 219935.0;0.47225
1780 ; 220938.0;0.46426
1780 ; 221941.0;0.46806
1780 ; 222944.0;0.44305
1780 ; 223947.0;0.4557
1780 ; 224950.0;0.46601
1780 ; 225953.0;0.46054
1780 ; 226956.0;0.45294
1780 ; 227959.0;0.46327
1780 ; 228962.0;0.45624
1780 ; 229965.0;0.4553
1780 ; 230968.0;0.45483
1780 ; 231971.0;0.4658
1780 ; 232974.0;0.46378
1780 ; 233977.0;0.44958
1780 ; 234980.0;0.44407
1780 ; 235983.0;0.47649
1780 ; 236986.0;0.46727
1780 ; 237989.0;0.45467
1780 ; 238992.0;0.46283
1780 ; 239995.0;0.45778
1780 ; 240998.0;0.46569
1780 ; 242001.0;0.44549
1780 ; 243004.0;0.45419
1780 ; 244007.0;0.45502
1780 ; 245010.0;0.46254
1780 ; 246013.0;0.46032
1780 ; 247016.0;0.4542
1780 ; 248019.0;0.4683
1780 ; 249022.0;0.45849
1780 ; 250025.0;0.463
1780 ; 251028.0;0.46907
1780 ; 252031.0;0.46201
1780 ; 253034.0;0.45387
1780 ; 254037.0;0.47251
1780 ; 255040.0;0.47654
1780 ; 256043.0;0.47523
1780 ; 257046.0;0.47143
1780 ; 258049.0;0.45604
1780 ; 259052.0;0.44906
1780 ; 260055.0;0.45567
1780 ; 261058.0;0.4322
1780 ; 262061.0;0.46253
1780 ; 263064.0;0.4696
1780 ; 264067.0;0.47235
