Num of Anchor; Time [ms]; Data Anchor
1780 ; 32364.0;0.0
1780 ; 33367.0;0.0
1780 ; 34370.0;0.40435
1780 ; 35373.0;0.45602
1780 ; 36376.0;0.48932
1780 ; 37379.0;0.47265
1780 ; 38382.0;0.45925
1780 ; 39385.0;0.47949
1780 ; 40388.0;0.47042
1780 ; 41391.0;0.4708
1780 ; 42394.0;0.47895
1780 ; 43398.0;0.46444
1780 ; 44401.0;0.47285
1780 ; 45404.0;0.47991
1780 ; 46407.0;0.4691
1780 ; 47410.0;0.46303
1780 ; 48413.0;0.4531
1780 ; 49416.0;0.47849
1780 ; 50419.0;0.46566
1780 ; 51422.0;0.46845
1780 ; 52425.0;0.47962
1780 ; 53428.0;0.48634
1780 ; 54431.0;0.47167
1780 ; 55434.0;0.46629
1780 ; 56437.0;0.4606
1780 ; 57440.0;0.47678
1780 ; 58443.0;0.46786
1780 ; 59446.0;0.45152
1780 ; 60449.0;0.44906
1780 ; 61452.0;0.44874
1780 ; 62455.0;0.4514
1780 ; 63458.0;0.47737
1780 ; 64461.0;0.46713
1780 ; 65464.0;0.47225
1780 ; 66467.0;0.47863
1780 ; 67470.0;0.45369
1780 ; 68473.0;0.45411
1780 ; 69476.0;0.46519
1780 ; 70479.0;0.463
1780 ; 71482.0;0.46957
1780 ; 72485.0;0.46801
1780 ; 73488.0;0.47533
1780 ; 74491.0;0.47417
1780 ; 75494.0;0.46142
1780 ; 76497.0;0.47
1780 ; 77500.0;0.46835
1780 ; 78503.0;0.46234
1780 ; 79506.0;0.48072
1780 ; 80509.0;0.48272
1780 ; 81512.0;0.46074
1780 ; 82515.0;0.45612
1780 ; 83518.0;0.45386
1780 ; 84521.0;0.4571
1780 ; 85524.0;0.46476
1780 ; 86527.0;0.47097
1780 ; 87530.0;0.4588
1780 ; 88533.0;0.46597
1780 ; 89536.0;0.46829
1780 ; 90539.0;0.47206
1780 ; 91542.0;0.46663
1780 ; 92545.0;0.46728
1780 ; 93548.0;0.46131
1780 ; 94551.0;0.45037
1780 ; 95554.0;0.45455
1780 ; 96557.0;0.45364
1780 ; 97560.0;0.45906
1780 ; 98563.0;0.46563
1780 ; 99566.0;0.46691
1780 ; 100569.0;0.47456
1780 ; 101572.0;0.46755
1780 ; 102575.0;0.46447
1780 ; 103578.0;0.46049
1780 ; 104581.0;0.46099
1780 ; 105584.0;0.45819
1780 ; 106587.0;0.46813
1780 ; 107590.0;0.45971
1780 ; 108593.0;0.45471
1780 ; 109596.0;0.45631
1780 ; 110599.0;0.46507
1780 ; 111602.0;0.46499
1780 ; 112605.0;0.45984
1780 ; 113608.0;0.45311
1780 ; 114611.0;0.47917
1780 ; 115614.0;0.4575
1780 ; 116617.0;0.45878
1780 ; 117620.0;0.46476
1780 ; 118623.0;0.47319
1780 ; 119626.0;0.4467
1780 ; 120629.0;0.46549
1780 ; 121632.0;0.47837
1780 ; 122635.0;0.46681
1780 ; 123638.0;0.47154
1780 ; 124641.0;0.46264
1780 ; 125644.0;0.46022
1780 ; 126647.0;0.46753
1780 ; 127650.0;0.47137
1780 ; 128653.0;0.47268
1780 ; 129656.0;0.45836
1780 ; 130659.0;0.46548
1780 ; 131662.0;0.47506
1780 ; 132665.0;0.46548
1780 ; 133668.0;0.46122
1780 ; 134671.0;0.45957
1780 ; 135674.0;0.46703
1780 ; 136677.0;0.44946
1780 ; 137680.0;0.469
1780 ; 138683.0;0.4615
1780 ; 139686.0;0.47799
1780 ; 140689.0;0.46988
1780 ; 141692.0;0.46516
1780 ; 142695.0;0.46421
1780 ; 143698.0;0.47218
1780 ; 144701.0;0.45688
1780 ; 145704.0;0.46686
1780 ; 146707.0;0.46806
1780 ; 147710.0;0.48347
1780 ; 148713.0;0.47104
1780 ; 149716.0;0.43355
1780 ; 150719.0;0.4424
1780 ; 151722.0;0.48135
1780 ; 152725.0;0.46495
1780 ; 153729.0;0.4604
1780 ; 154732.0;0.48613
1780 ; 155735.0;0.45796
1780 ; 156738.0;0.46642
1780 ; 157741.0;0.45529
1780 ; 158744.0;0.47517
1780 ; 159747.0;0.46484
1780 ; 160750.0;0.4601
1780 ; 161753.0;0.47007
1780 ; 162756.0;0.46771
1780 ; 163759.0;0.46911
1780 ; 164762.0;0.44504
1780 ; 165765.0;0.43743
1780 ; 166768.0;0.47082
1780 ; 167771.0;0.4558
1780 ; 168774.0;0.45503
1780 ; 169777.0;0.46934
1780 ; 170781.0;0.48307
1780 ; 171784.0;0.47038
1780 ; 172787.0;0.47241
1780 ; 173790.0;0.45824
1780 ; 174793.0;0.46389
1780 ; 175796.0;0.46441
1780 ; 176799.0;0.45868
1780 ; 177802.0;0.47467
1780 ; 178805.0;0.46356
1780 ; 179808.0;0.46898
1780 ; 180811.0;0.46366
1780 ; 181814.0;0.47318
1780 ; 182817.0;0.46132
1780 ; 183820.0;0.46575
1780 ; 184823.0;0.45538
1780 ; 185826.0;0.45744
1780 ; 186829.0;0.44643
1780 ; 187832.0;0.46294
1780 ; 188834.0;0.46233
1780 ; 189837.0;0.47396
1780 ; 190840.0;0.47928
1780 ; 191843.0;0.47308
1780 ; 192846.0;0.45588
1780 ; 193849.0;0.46454
1780 ; 194852.0;0.47119
1780 ; 195855.0;0.46276
1780 ; 196858.0;0.46538
1780 ; 197861.0;0.46378
1780 ; 198864.0;0.45562
1780 ; 199867.0;0.4586
1780 ; 200870.0;0.46696
1780 ; 201873.0;0.47234
1780 ; 202876.0;0.45179
1780 ; 203879.0;0.46323
1780 ; 204882.0;0.45894
1780 ; 205885.0;0.47026
1780 ; 206888.0;0.4741
1780 ; 207891.0;0.46208
1780 ; 208894.0;0.46653
1780 ; 209897.0;0.45226
1780 ; 210900.0;0.46536
1780 ; 211903.0;0.4773
1780 ; 212906.0;0.45727
1780 ; 213909.0;0.46599
1780 ; 214912.0;0.46807
1780 ; 215915.0;0.46312
1780 ; 216918.0;0.47033
1780 ; 217921.0;0.47286
1780 ; 218924.0;0.4775
1780 ; 219927.0;0.46625
1780 ; 220930.0;0.47028
1780 ; 221933.0;0.46093
1780 ; 222936.0;0.4586
1780 ; 223939.0;0.47073
1780 ; 224942.0;0.46318
1780 ; 225945.0;0.4595
1780 ; 226948.0;0.45373
1780 ; 227951.0;0.4699
1780 ; 228954.0;0.47486
1780 ; 229957.0;0.45907
1780 ; 230960.0;0.45669
1780 ; 231963.0;0.46086
1780 ; 232966.0;0.47325
1780 ; 233969.0;0.45172
1780 ; 234972.0;0.46421
1780 ; 235975.0;0.47245
1780 ; 236978.0;0.46678
1780 ; 237981.0;0.45807
1780 ; 238984.0;0.4625
1780 ; 239987.0;0.47532
1780 ; 240990.0;0.46467
1780 ; 241993.0;0.47423
1780 ; 242996.0;0.47057
1780 ; 243999.0;0.46954
1780 ; 245002.0;0.46918
1780 ; 246005.0;0.47511
1780 ; 247008.0;0.48056
1780 ; 248011.0;0.46466
1780 ; 249014.0;0.46045
1780 ; 250017.0;0.45977
1780 ; 251020.0;0.46743
1780 ; 252023.0;0.46969
1780 ; 253026.0;0.46783
1780 ; 254029.0;0.47064
1780 ; 255032.0;0.47762
1780 ; 256035.0;0.46069
1780 ; 257038.0;0.46965
1780 ; 258041.0;0.46933
1780 ; 259044.0;0.47617
1780 ; 260047.0;0.461
1780 ; 261050.0;0.46673
1780 ; 262053.0;0.47077
1780 ; 263056.0;0.46003
1780 ; 264059.0;0.45396
1780 ; 265062.0;0.46963
1780 ; 266065.0;0.46672
1780 ; 267068.0;0.44513
1780 ; 268071.0;0.45377
1780 ; 269074.0;0.43937
1780 ; 270077.0;0.47666
1780 ; 271080.0;0.44726
1780 ; 272083.0;0.44664
1780 ; 273086.0;0.4656
1780 ; 274089.0;0.47378
1780 ; 275092.0;0.47135
1780 ; 276095.0;0.46587
1780 ; 277098.0;0.46268
1780 ; 278101.0;0.46976
1780 ; 279104.0;0.46738
1780 ; 280107.0;0.46148
1780 ; 281110.0;0.46879
1780 ; 282113.0;0.46381
1780 ; 283116.0;0.46339
1780 ; 284119.0;0.47804
1780 ; 285122.0;0.45469
1780 ; 286125.0;0.47504
1780 ; 287128.0;0.47598
1780 ; 288131.0;0.48774
1780 ; 289134.0;0.4751
1780 ; 290137.0;0.4851
1780 ; 291140.0;0.48256
1780 ; 292143.0;0.4763
1780 ; 293146.0;0.46363
1780 ; 294149.0;0.48739
1780 ; 295152.0;0.47611
1780 ; 296155.0;0.46172
1780 ; 297158.0;0.45858
1780 ; 298161.0;0.47376
1780 ; 299164.0;0.47293
1780 ; 300167.0;0.47311
1780 ; 301170.0;0.45893
1780 ; 302173.0;0.46621
1780 ; 303176.0;0.4563
1780 ; 304179.0;0.47127
1780 ; 305182.0;0.46549
1780 ; 306185.0;0.46608
1780 ; 307188.0;0.46504
1780 ; 308191.0;0.46279
1780 ; 309194.0;0.46434
1780 ; 310197.0;0.47362
1780 ; 311200.0;0.48358
1780 ; 312203.0;0.47024
1780 ; 313206.0;0.48389
1780 ; 314209.0;0.47452
1780 ; 315212.0;0.46385
1780 ; 316215.0;0.47482
1780 ; 317218.0;0.45677
1780 ; 318221.0;0.48168
1780 ; 319224.0;0.46625
1780 ; 320227.0;0.47388
1780 ; 321230.0;0.47175
1780 ; 322233.0;0.45175
1780 ; 323236.0;0.48021
1780 ; 324239.0;0.47069
1780 ; 325242.0;0.46695
1780 ; 326245.0;0.45222
1780 ; 327248.0;0.46792
1780 ; 328251.0;0.45921
1780 ; 329254.0;0.46143
1780 ; 330257.0;0.45815
1780 ; 331260.0;0.47786
1780 ; 332264.0;0.4711
1780 ; 333267.0;0.45563
1780 ; 334270.0;0.46788
1780 ; 335273.0;0.46439
1780 ; 336276.0;0.47361
1780 ; 337279.0;0.46366
1780 ; 338283.0;0.44965
1780 ; 339286.0;0.46365
1780 ; 340289.0;0.47041
1780 ; 341292.0;0.48247
1780 ; 342295.0;0.47658
1780 ; 343298.0;0.45495
1780 ; 344301.0;0.47003
1780 ; 345304.0;0.47566
1780 ; 346307.0;0.45672
1780 ; 347310.0;0.47548
1780 ; 348313.0;0.46792
1780 ; 349316.0;0.47348
1780 ; 350319.0;0.46284
1780 ; 351322.0;0.47876
1780 ; 352325.0;0.47891
1780 ; 353328.0;0.44652
1780 ; 354331.0;0.46422
1780 ; 355334.0;0.46223
1780 ; 356337.0;0.46053
1780 ; 357340.0;0.46936
1780 ; 358343.0;0.47692
1780 ; 359346.0;0.44831
1780 ; 360349.0;0.43747
1780 ; 361352.0;0.45485
1780 ; 362355.0;0.45915
1780 ; 363358.0;0.45172
1780 ; 364361.0;0.46704
1780 ; 365364.0;0.45644
1780 ; 366367.0;0.46719
1780 ; 367370.0;0.46805
1780 ; 368373.0;0.4622
1780 ; 369376.0;0.45793
1780 ; 370379.0;0.46461
1780 ; 371382.0;0.45818
1780 ; 372385.0;0.45898
1780 ; 373388.0;0.47578
1780 ; 374391.0;0.47308
1780 ; 375394.0;0.48519
1780 ; 376397.0;0.46661
1780 ; 377400.0;0.46815
1780 ; 378403.0;0.47342
1780 ; 379406.0;0.46613
1780 ; 380409.0;0.47855
1780 ; 381412.0;0.46706
1780 ; 382415.0;0.45991
1780 ; 383418.0;0.44197
1780 ; 384421.0;0.47456
1780 ; 385424.0;0.45877
1780 ; 386427.0;0.47349
1780 ; 387430.0;0.45381
1780 ; 388433.0;0.46528
1780 ; 389436.0;0.48015
1780 ; 390439.0;0.47288
1780 ; 391442.0;0.46762
1780 ; 392445.0;0.45259
1780 ; 393448.0;0.4685
1780 ; 394451.0;0.48767
1780 ; 395454.0;0.46136
1780 ; 396457.0;0.45701
1780 ; 397460.0;0.45978
1780 ; 398463.0;0.46256
1780 ; 399466.0;0.44594
1780 ; 400469.0;0.47487
1780 ; 401472.0;0.47225
1780 ; 402475.0;0.45243
1780 ; 403478.0;0.47488
1780 ; 404481.0;0.46066
1780 ; 405484.0;0.45916
1780 ; 406487.0;0.46163
1780 ; 407490.0;0.46053
1780 ; 408493.0;0.45808
1780 ; 409496.0;0.45363
1780 ; 410499.0;0.47366
1780 ; 411502.0;0.46123
1780 ; 412505.0;0.45964
1780 ; 413508.0;0.47603
1780 ; 414511.0;0.46513
1780 ; 415514.0;0.45306
1780 ; 416517.0;0.46278
1780 ; 417520.0;0.47399
1780 ; 418523.0;0.47262
1780 ; 419526.0;0.4618
1780 ; 420529.0;0.4759
1780 ; 421532.0;0.47573
1780 ; 422535.0;0.45596
1780 ; 423538.0;0.48009
