Num of Anchor; Time [ms]; Data Anchor
1780 ; 31362.0;0.0
1780 ; 32365.0;0.0
1780 ; 33367.0;0.4247
1780 ; 34370.0;0.47084
1780 ; 35373.0;0.49279
1780 ; 36377.0;0.51102
1780 ; 37380.0;0.48933
1780 ; 38383.0;0.50543
1780 ; 39386.0;0.46507
1780 ; 40389.0;0.50507
1780 ; 41392.0;0.46328
1780 ; 42395.0;0.4603
1780 ; 43398.0;0.47895
1780 ; 44401.0;0.53639
1780 ; 45404.0;0.47352
1780 ; 46407.0;0.45528
1780 ; 47410.0;0.48272
1780 ; 48413.0;0.48543
1780 ; 49416.0;0.50606
1780 ; 50419.0;0.51162
1780 ; 51422.0;0.47133
1780 ; 52425.0;0.45748
1780 ; 53428.0;0.45606
1780 ; 54431.0;0.50692
1780 ; 55434.0;0.51501
1780 ; 56437.0;0.49437
1780 ; 57440.0;0.47856
1780 ; 58443.0;0.4553
1780 ; 59446.0;0.46265
1780 ; 60449.0;0.49709
1780 ; 61452.0;0.51027
1780 ; 62455.0;0.51088
1780 ; 63458.0;0.4981
1780 ; 64461.0;0.48922
1780 ; 65464.0;0.46726
1780 ; 66467.0;0.44234
1780 ; 67470.0;0.47869
1780 ; 68473.0;0.4916
1780 ; 69476.0;0.49374
1780 ; 70479.0;0.50484
1780 ; 71482.0;0.49394
1780 ; 72485.0;0.49431
1780 ; 73488.0;0.47739
1780 ; 74491.0;0.48958
1780 ; 75494.0;0.47082
1780 ; 76497.0;0.48155
1780 ; 77500.0;0.48731
1780 ; 78503.0;0.47848
1780 ; 79506.0;0.46793
1780 ; 80509.0;0.47983
1780 ; 81512.0;0.49341
1780 ; 82515.0;0.47932
1780 ; 83518.0;0.49726
1780 ; 84521.0;0.48346
1780 ; 85524.0;0.49319
1780 ; 86527.0;0.47845
1780 ; 87530.0;0.48543
1780 ; 88533.0;0.48043
1780 ; 89536.0;0.4717
1780 ; 90539.0;0.47918
1780 ; 91542.0;0.47447
1780 ; 92545.0;0.47458
1780 ; 93548.0;0.4992
1780 ; 94551.0;0.46683
1780 ; 95554.0;0.47559
1780 ; 96557.0;0.50319
1780 ; 97560.0;0.50607
1780 ; 98563.0;0.4904
1780 ; 99566.0;0.48948
1780 ; 100569.0;0.49727
1780 ; 101572.0;0.49038
1780 ; 102575.0;0.48911
1780 ; 103578.0;0.48924
1780 ; 104581.0;0.49372
1780 ; 105584.0;0.50759
1780 ; 106588.0;0.49167
1780 ; 107591.0;0.49669
1780 ; 108594.0;0.47874
1780 ; 109597.0;0.49938
1780 ; 110600.0;0.4721
1780 ; 111603.0;0.50441
1780 ; 112606.0;0.49213
1780 ; 113609.0;0.47228
1780 ; 114612.0;0.51455
1780 ; 115615.0;0.49077
1780 ; 116618.0;0.49316
1780 ; 117621.0;0.47814
1780 ; 118624.0;0.48526
1780 ; 119627.0;0.45242
1780 ; 120630.0;0.48474
1780 ; 121633.0;0.47928
1780 ; 122636.0;0.47249
1780 ; 123639.0;0.47118
1780 ; 124642.0;0.487
1780 ; 125645.0;0.48001
1780 ; 126648.0;0.47995
1780 ; 127651.0;0.47995
1780 ; 128654.0;0.47141
1780 ; 129657.0;0.48682
1780 ; 130660.0;0.49697
1780 ; 131663.0;0.48253
1780 ; 132666.0;0.49036
1780 ; 133669.0;0.47789
1780 ; 134672.0;0.47767
1780 ; 135675.0;0.48413
1780 ; 136678.0;0.46704
1780 ; 137681.0;0.48433
1780 ; 138684.0;0.5052
1780 ; 139687.0;0.4932
1780 ; 140690.0;0.47398
1780 ; 141693.0;0.48297
1780 ; 142696.0;0.49588
1780 ; 143699.0;0.47384
1780 ; 144702.0;0.48071
1780 ; 145705.0;0.47671
1780 ; 146708.0;0.47723
1780 ; 147711.0;0.49638
1780 ; 148714.0;0.49837
1780 ; 149717.0;0.48559
1780 ; 150720.0;0.49608
1780 ; 151723.0;0.48741
1780 ; 152726.0;0.49765
1780 ; 153729.0;0.4944
1780 ; 154732.0;0.49005
1780 ; 155735.0;0.4975
1780 ; 156738.0;0.50527
1780 ; 157741.0;0.50273
1780 ; 158744.0;0.50501
1780 ; 159747.0;0.49304
1780 ; 160750.0;0.50173
1780 ; 161753.0;0.50967
1780 ; 162756.0;0.46032
1780 ; 163759.0;0.4964
1780 ; 164762.0;0.49321
1780 ; 165765.0;0.49996
1780 ; 166768.0;0.506
1780 ; 167771.0;0.49744
1780 ; 168774.0;0.48709
1780 ; 169777.0;0.47861
1780 ; 170780.0;0.49186
1780 ; 171783.0;0.49256
1780 ; 172786.0;0.48315
1780 ; 173789.0;0.46606
1780 ; 174792.0;0.47924
1780 ; 175795.0;0.4795
1780 ; 176798.0;0.49169
1780 ; 177801.0;0.47859
1780 ; 178804.0;0.48636
1780 ; 179807.0;0.48451
1780 ; 180810.0;0.48614
1780 ; 181813.0;0.48401
1780 ; 182816.0;0.49389
1780 ; 183819.0;0.49399
1780 ; 184822.0;0.48566
1780 ; 185825.0;0.47768
1780 ; 186828.0;0.48851
1780 ; 187831.0;0.47713
1780 ; 188834.0;0.47518
1780 ; 189837.0;0.48051
1780 ; 190840.0;0.48802
1780 ; 191843.0;0.49101
1780 ; 192846.0;0.48109
1780 ; 193849.0;0.47437
1780 ; 194852.0;0.47676
1780 ; 195855.0;0.47197
1780 ; 196858.0;0.48896
1780 ; 197861.0;0.46815
1780 ; 198864.0;0.48101
1780 ; 199867.0;0.49114
1780 ; 200870.0;0.49485
1780 ; 201873.0;0.48
1780 ; 202876.0;0.47999
1780 ; 203879.0;0.48911
1780 ; 204882.0;0.50186
1780 ; 205885.0;0.48058
1780 ; 206888.0;0.48791
1780 ; 207891.0;0.48166
1780 ; 208894.0;0.4757
1780 ; 209897.0;0.49189
1780 ; 210900.0;0.47724
1780 ; 211903.0;0.4926
1780 ; 212906.0;0.48952
1780 ; 213909.0;0.48193
1780 ; 214912.0;0.47258
1780 ; 215915.0;0.48973
1780 ; 216918.0;0.48782
1780 ; 217921.0;0.48153
1780 ; 218924.0;0.4767
1780 ; 219927.0;0.47546
1780 ; 220930.0;0.47687
1780 ; 221933.0;0.49883
1780 ; 222936.0;0.49766
1780 ; 223939.0;0.46868
1780 ; 224942.0;0.49406
1780 ; 225945.0;0.48259
1780 ; 226948.0;0.50052
1780 ; 227951.0;0.49574
1780 ; 228954.0;0.48966
1780 ; 229957.0;0.48016
1780 ; 230960.0;0.49217
1780 ; 231963.0;0.46634
1780 ; 232966.0;0.47561
1780 ; 233969.0;0.49782
1780 ; 234972.0;0.47885
1780 ; 235975.0;0.49817
1780 ; 236978.0;0.49955
1780 ; 237981.0;0.48613
1780 ; 238984.0;0.4998
1780 ; 239987.0;0.4895
1780 ; 240990.0;0.48966
1780 ; 241993.0;0.47037
1780 ; 242995.0;0.45963
1780 ; 243998.0;0.48597
1780 ; 245001.0;0.46543
1780 ; 246004.0;0.49613
1780 ; 247007.0;0.46655
1780 ; 248010.0;0.48904
1780 ; 249013.0;0.50434
1780 ; 250016.0;0.47462
1780 ; 251019.0;0.49931
1780 ; 252022.0;0.49997
1780 ; 253025.0;0.48713
1780 ; 254028.0;0.48967
1780 ; 255031.0;0.48131
1780 ; 256034.0;0.47337
1780 ; 257037.0;0.49867
1780 ; 258040.0;0.47524
1780 ; 259043.0;0.48361
1780 ; 260046.0;0.48923
1780 ; 261049.0;0.48533
1780 ; 262052.0;0.49314
1780 ; 263055.0;0.46761
