1780;1.2149597922912286e+51;219;-5461;-7972;8776;1.2149597922912286e+51;1.2149597922912286e+51
1780;1.360533347990362e+51;221;-5466;-8117;9115;1.360533347990362e+51;1.360533347990362e+51
1780;1.5156561122198427e+51;221;-5493;-8418;9873;1.5156561122198427e+51;1.5156561122198427e+51
1780;1.8068146415996514e+51;223;-5479;-8149;10241;1.8068146415996514e+51;1.8068146415996514e+51
1780;2.0979888707040793e+51;225;-5442;-7996;9742;2.0979888707040793e+51;2.0979888707040793e+51
1780;2.3891402638454235e+51;223;-5469;-8016;8018;2.3891402638454235e+51;2.3891402638454235e+51
1780;2.6803030749683084e+51;225;-5468;-8171;9951;2.6803030749683084e+51;2.6803030749683084e+51
1780;2.971474449577351e+51;222;-5439;-8187;10338;2.971474449577351e+51;2.971474449577351e+51
1780;3.532139149614482e+51;221;-5460;-8133;10280;3.532139149614482e+51;3.532139149614482e+51
1780;4.114450499383327e+51;224;-5382;-8036;10481;4.114450499383327e+51;4.114450499383327e+51
1780;4.696753285666016e+51;221;-5468;-8064;10602;4.696753285666016e+51;4.696753285666016e+51
1780;5.2791045983702566e+51;225;-5455;-8119;10519;5.2791045983702566e+51;5.2791045983702566e+51
1780;5.861444493092959e+51;218;-5430;-8168;8987;5.861444493092959e+51;5.861444493092959e+51
1780;6.90119527022545e+51;221;-5412;-8360;7830;6.90119527022545e+51;6.90119527022545e+51
1780;8.065926440587793e+51;219;-5437;-8108;10012;8.065926440587793e+51;8.065926440587793e+51
1780;9.230560558107025e+51;221;-5492;-8028;8323;9.230560558107025e+51;9.230560558107025e+51
1780;1.0395211802598564e+52;222;-5401;-8184;9905;1.0395211802598564e+52;1.0395211802598564e+52
1780;1.1559880174062425e+52;220;-5432;-8136;8541;1.1559880174062425e+52;1.1559880174062425e+52
1780;1.3476452842074725e+52;221;-5427;-8274;9051;1.3476452842074725e+52;1.3476452842074725e+52
1780;1.8134977894170097e+52;221;-5427;-8206;8429;1.8134977894170097e+52;1.8134977894170097e+52
1780;2.0464440234894775e+52;222;-5453;-8338;9421;2.0464440234894775e+52;2.0464440234894775e+52
1780;2.279381123176712e+52;218;-5494;-8468;8457;2.279381123176712e+52;2.279381123176712e+52
1780;2.6301144467212484e+52;218;-5440;-8288;9580;2.6301144467212484e+52;2.6301144467212484e+52
1780;3.095931556188008e+52;220;-5453;-8224;8561;3.095931556188008e+52;3.095931556188008e+52
1780;3.561821740736634e+52;219;-5412;-8343;8028;3.561821740736634e+52;3.561821740736634e+52
1780;4.0276731041480163e+52;220;-5404;-8572;9724;4.0276731041480163e+52;4.0276731041480163e+52
1780;4.4935267511557087e+52;218;-5516;-8220;9510;4.4935267511557087e+52;4.4935267511557087e+52
1780;5.12972593269875e+52;216;-5429;-8142;10366;5.12972593269875e+52;5.12972593269875e+52
1780;6.061478898640302e+52;214;-5417;-8150;10255;6.061478898640302e+52;6.061478898640302e+52
1780;6.993177058270459e+52;213;-8253;-8278;9635;6.993177058270459e+52;6.993177058270459e+52
1780;7.92495742736771e+52;220;-5435;-8441;9865;7.92495742736771e+52;7.92495742736771e+52
1780;8.856701258924029e+52;217;-5456;-8304;7481;8.856701258924029e+52;8.856701258924029e+52
1780;9.998710841081782e+52;218;-5479;-8083;10402;9.998710841081782e+52;9.998710841081782e+52
1780;1.186216196665349e+53;219;-5456;-7975;8250;1.186216196665349e+53;1.186216196665349e+53
1780;1.372564962976613e+53;221;-5447;-8263;9687;1.372564962976613e+53;1.372564962976613e+53
1780;1.558900941148549e+53;217;-5422;-8102;10629;1.558900941148549e+53;1.558900941148549e+53
